,content
179,"Hebatnya lagi hampir seluruh alumni perguruan tinggi ternama di seluruh Indonesia mulai dari UGM, ITS, ITB, IPB, UNS, UNAIR, UNDIP, UNPAD, Parahiyangan, Trisakti, Atmajaya dan berbagai perguruan tinggi lainnya bergabung dalam deklarasi dukung jokowi. 
#OrangPintarPilihJokowi"
180,Alumni AtmaJaya: Jokowi Punya Kualitas dalam Bekerja https://t.co/CMmUEhtxbl
181,Alumni AtmaJaya: Jokowi Punya Kualitas dalam Bekerja https://t.co/hW5VVpHJo0
182,"Takbiiiir.... RT @nabila10011: Hampir seluruh alumni perguruan tinggi mulai dari UGM, ITS, ITB, IPB, UNS, Unair, Undip, Unpad, Unpar, Universitas Trisakti, Atmajaya dan berbagai perguruan tinggi lainnya hadir dalam deklarasi dukung Jokowi-Amin.
#VisiMisiJokowiMenang (1/2)"
183,@addiems Saya alumni Atmajaya dan saya dukung @jokowi
184,"oh ferguso ternyata bukan cuman ""you and  I"" alias alumni UI saja yang ngumpul, ada Trisakti juga, Atmajaya ITB, dan ternyata UNair udah bikin acara di surabaya tanggal 11 kemarin....#2019JokowiPresidenRI https://t.co/LC06qvGoFA"
185,"Hampir semua alumni perguruan tinggi mulai dari UGM, ITS, ITB, IPB, UNS, Unair, Undip, Unpad, Unpar, Universitas Trisakti, Atmajaya dan berbagai perguruan tinggi lainnya hadir dalam deklarasi mendukung Jokowi-Amin...
#VisiMisiJokowiMenang"
186,"@eko_kuntadhi Deklarasi PT menangkan Jokowi Amin, dari UI, UNAIR, UNPAD, IPB, UNIV. PANCASILA, USU, UNTAG SBY, ITB, UKI, STP, KOPIN BDG, NHI, ITS, ATMAJAYA, UNPAR, UGM, TRISAKTI, UNSRAT, UII, UNS, UPN Veteran, Univ Terbuka, European Univ. Antwerp of Belgium.
https://t.co/NQQZ9ZWWsS"
187,"@faizalassegaf @jokowi Deklarasi PT menangkan Jokowi Amin, dari UI, UNAIR, UNPAD, IPB, UNIV. PANCASILA, USU, UNTAG SBY, ITB, UKI, STP, KOPIN BDG, NHI, ITS, ATMAJAYA, UNPAR, UGM, TRISAKTI, UNSRAT, UII, UNS, UPN Veteran, Univ Terbuka, European Univ. Antwerp of Belgium.
https://t.co/NQQZ9ZWWsS"
188,"Hampir seluruh alumni perguruan tinggi di seluruh Indonesia mulai dari UGM, ITS, ITB, IPB, UNS, Unair, Undip, Universitas Padjajaran, Parahiyangan, Universitas Trisakti, Atmajaya dan berbagai perguruan tinggi lainnya bergabung memeriahkan acara itu.
#OrangPintarPilihJokowi"
189,"Deklarasi alumni UI for Jokowi MA adalah Alumni UI, ITB, UGM, ITS, IPB, UNS, UNAI, UNDIP, PADJAJARAN, PARAHIYANGAN, TRISAKTI, ATMAJAYA, Perguruan Tinggi Negeri dan Swasta lainnya. 
#OrangPintarPilihJokowi"
